Age,Attrition,BusinessTravel,Department,DistanceFromHome,EngagementScore,TimeSinceLastPromotion,JobSatisfaction,OvertimeHours,BurnoutRisk,CommuteTime,FlexibleWorkEligibility,SkillDemandScore,DiversityIndex,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,PolicySatisfactionScore,ManagerExperienceLevel,IndustryGrowthRate,RegionalUnemploymentRate,VoluntaryOvertimeHours,MandatoryOvertimeHours,TeamDiversityScore,GenderDiversityRatio,SalaryPercentile,AttritionRiskIndex,TotalBenefits,AttritionRiskScore,RetentionRisk
45,Yes,Travel_Frequently,Research & Development,10,87,6,1,10,70,90,Yes,3,0.675221267,1,Human Resources,11,2,Female,3,3,Laboratory Technician,Married,4700,6,Yes,24,4,2,2,23,4,3,11,6,7,2,3,2.397657707,7.585267884,9,14,0.606780163,0.585875097,Low,8.092065419,29700,6.949708478,Low
24,Yes,Travel_Frequently,Finance,17,69,5,1,3,27,83,No,1,0.969332077,3,Human Resources,12,3,Female,4,4,Product Manager,Divorced,19388,7,Yes,21,3,4,3,34,0,2,8,0,5,3,1,2.729960875,7.442033974,2,13,0.92404274,0.498602316,Very High,16.79125976,41888,21.16499861,Low
43,Yes,Travel_Rarely,Research & Development,23,82,9,1,0,86,45,No,4,0.573839386,2,Other,13,3,Female,4,1,Product Manager,Single,,0,No,13,3,3,0,33,3,4,17,5,0,1,1,2.539488614,5.403776901,9,17,0.578122555,0.446837901,Medium,11.05967089,,14.23740007,Low
23,No,Travel_Rarely,Research & Development,20,88,5,4,20,34,113,No,3,0.23577402,2,Business,14,4,Female,3,4,Human Resources,Divorced,5846,8,Yes,10,4,1,3,14,1,4,5,1,10,1,4,3.595440362,5.054269128,6,6,0.197701938,0.470000644,Low,7.415646447,17346,5.428975199,Low
45,Yes,Travel_Frequently,Human Resources,13,35,4,3,5,72,14,No,4,0.498862297,2,Human Resources,15,4,Male,2,2,Human Resources,Married,10995,4,Yes,15,4,4,2,7,4,1,17,3,10,1,3,4.708554605,9.695867137,3,0,0.400617749,0.526050785,High,2.542191014,26995,1.501292522,Low
51,No,Travel_Rarely,Sales,22,92,3,4,22,36,60,Yes,1,0.343254984,3,Human Resources,16,3,Male,4,4,Manager,Divorced,8110,1,Yes,11,2,1,3,18,0,2,5,0,4,4,2,1.428725147,7.081567991,1,15,0.298809608,0.509947799,Medium,4.892195223,20610,6.986639299,Low
59,No,Travel_Frequently,Sales,9,65,2,1,15,91,57,No,3,0.75323539,3,Business,17,2,Female,1,3,Laboratory Technician,Divorced,12577,9,Yes,20,1,2,1,2,3,1,18,9,1,2,1,2.065510836,2.923710922,8,19,0.875085119,0.434658124,High,18.13542608,33077,24.53503779,Low
23,No,Travel_Rarely,Engineering,15,69,6,1,9,9,36,No,2,0.436775429,4,Finance,18,3,Male,4,3,Laboratory Technician,Married,2240,6,Yes,21,1,2,0,3,0,2,7,2,11,2,4,1.33643645,5.937869192,2,6,0.449864418,0.478159664,Low,16.90514855,23240,20.07762233,Low
42,No,Travel_Rarely,Sales,13,35,4,1,10,25,68,No,2,0.575572255,3,Human Resources,19,3,Male,2,1,Human Resources,Single,11795,4,Yes,18,3,2,0,34,2,3,11,8,2,2,2,2.581522724,9.304643825,8,4,0.516936816,0.550055294,High,33.66278133,29795,35.34309719,Low
54,No,Non-Travel,Engineering,13,43,1,4,27,78,63,Yes,4,0.947509358,3,Human Resources,20,2,Male,3,2,Manager,Divorced,4371,4,Yes,14,1,1,2,37,0,2,11,1,3,3,3,1.076271972,9.511393002,4,3,0.792774312,0.462930291,Low,29.02466003,19371,28.91359692,Low
33,No,Travel_Rarely,Sales,13,,2,2,15,18,37,No,3,0.994012291,4,Technical Degree,21,4,Female,2,3,Data Scientist,Single,4606,1,Yes,14,3,1,3,35,2,4,11,1,11,4,1,1.86861668,9.104069084,4,3,0.951867118,0.418827344,Low,19.63913129,20106,27.14396007,Low
43,Yes,Travel_Frequently,Research & Development,25,42,4,4,8,75,77,Yes,4,0.627977018,2,Life Sciences,22,2,Female,3,4,Sales Executive,Married,6370,1,Yes,12,2,3,0,16,1,3,8,2,9,4,2,2.165385261,6.206058966,5,4,0.556133636,0.546036874,Low,27.10056487,18370,23.09656201,Low
46,Yes,Travel_Rarely,Research & Development,25,72,8,2,11,27,80,No,1,0.420302219,3,Other,23,1,Female,2,2,Human Resources,Married,,6,Yes,18,3,3,3,3,2,4,2,2,1,3,1,1.741273052,6.634679253,3,5,0.355093884,0.54225652,High,15.93251808,,13.45293119,Low
48,No,Travel_Rarely,Finance,21,83,5,2,19,9,17,No,2,0.551563255,3,Marketing,24,1,Male,3,1,Research Scientist,Divorced,13191,7,Yes,13,2,3,2,8,2,1,0,5,8,4,4,1.564600763,5.593241421,7,1,0.535039423,0.527519322,High,9.645285615,27191,5.420720118,Low
49,No,Travel_Rarely,Sales,4,90,1,1,16,76,24,No,1,0.900271277,1,Business,25,4,Male,4,3,Data Scientist,Married,4960,9,Yes,21,4,1,1,25,2,2,15,6,2,4,2,1.460380486,2.348673792,4,6,1.015352827,0.586163383,Low,5.332455657,26460,6.517792962,Low
37,Yes,Travel_Rarely,Finance,22,33,7,2,19,75,114,No,3,0.390495794,1,Marketing,26,2,Male,2,1,Research Scientist,Divorced,5745,0,Yes,20,1,3,0,38,1,4,17,4,11,3,2,1.407378507,6.465707242,8,5,0.349629272,0.519921122,Low,30.8670891,25745,33.55205863,Low
36,No,Travel_Rarely,Research & Development,10,71,5,1,10,47,38,Yes,1,0.250048208,3,Business,27,4,Male,2,4,Manager,Married,2292,6,Yes,23,4,2,0,17,4,3,13,0,6,2,2,2.623704693,7.32185055,3,12,0.239840266,0.428936084,Low,15.7950328,25292,19.68300363,Low
24,No,Travel_Rarely,Research & Development,15,47,5,4,22,82,112,Yes,2,0.854356478,3,Finance,28,4,Female,1,1,Human Resources,Divorced,9098,1,Yes,23,3,4,1,13,1,3,16,7,0,4,1,1.766722023,4.787932415,2,9,1.007343927,0.527881195,Medium,27.87949787,32598,28.14883185,Low
58,Yes,Travel_Rarely,Research & Development,21,46,7,4,0,91,82,Yes,3,0.62392411,1,Business,29,3,Female,2,2,Product Manager,Single,19766,7,No,19,1,3,0,30,4,2,12,7,8,2,4,4.800551164,4.595689602,2,8,0.513460619,0.540785802,Very High,4.751333523,38766,3.571727778,Low
28,Yes,Travel_Frequently,Sales,28,,6,4,28,14,29,No,4,0.917536597,1,Life Sciences,30,2,Male,1,3,Human Resources,Single,19130,7,Yes,24,2,4,3,28,1,2,14,3,2,1,3,3.102746415,7.865325601,9,0,0.851530496,0.523389976,Very High,12.91660945,44630,16.36964395,Low
42,No,Travel_Rarely,Human Resources,10,65,4,1,24,74,74,No,3,0.748266635,4,Human Resources,31,3,Female,2,4,Manager,Single,8017,9,Yes,24,3,1,0,0,0,1,10,4,0,1,1,3.678469379,4.378525419,1,7,0.635421015,0.587616781,Medium,18.56679777,32017,22.97356651,Low
30,No,Travel_Frequently,Sales,21,,8,2,5,84,16,Yes,1,0.228389696,2,Other,32,4,Male,4,1,Laboratory Technician,Divorced,14326,1,Yes,19,1,3,0,34,4,3,2,5,5,3,3,4.11114531,7.725293945,8,4,0.186495801,0.510876774,High,14.79893949,33326,19.33029182,Low
39,No,Travel_Rarely,Sales,8,39,0,1,9,79,43,Yes,3,0.829832905,1,Life Sciences,33,3,Female,4,2,Marketing Manager,Divorced,3156,1,Yes,24,2,2,3,28,0,2,18,3,1,2,4,3.746683116,2.004436513,1,0,0.815568226,0.580959951,Low,30.6968909,28656,37.16243929,Low
25,No,Travel_Rarely,Human Resources,10,38,3,3,7,59,19,No,1,0.352650897,2,Finance,34,3,Female,3,3,Product Manager,Single,18364,0,Yes,10,4,2,2,10,0,2,8,3,10,3,2,3.893634811,2.779168647,2,6,0.347677841,0.452481677,Very High,31.74092306,29364,40.50950808,Low
46,Yes,Travel_Frequently,Finance,21,75,9,1,21,34,114,Yes,1,0.301408203,3,Other,35,1,Male,3,4,Data Scientist,Divorced,4014,8,Yes,18,,4,3,18,2,3,18,2,10,2,2,3.115795819,3.614148411,3,8,0.288452821,0.507390073,Low,14.74469116,23514,15.87903997,Low
35,No,Travel_Rarely,Research & Development,17,46,8,4,13,48,57,No,1,0.649907599,2,Other,36,2,Male,1,3,Product Manager,Married,14500,2,Yes,20,4,3,3,35,1,2,18,0,4,2,2,4.377680182,4.806052874,2,8,0.564682622,0.472930531,High,28.88528975,36000,37.41513586,Low
30,No,Travel_Rarely,Research & Development,5,96,1,4,22,69,79,Yes,1,0.552548779,3,Other,37,4,Female,2,1,Data Scientist,Married,,1,Yes,14,3,1,0,30,4,1,17,2,6,1,4,3.765397202,8.406026176,8,2,0.580324234,0.478679206,Very High,2.575187502,,2.155669972,Low
47,No,Travel_Rarely,Research & Development,13,62,2,4,18,30,34,No,2,0.441386392,3,Technical Degree,38,4,Female,4,3,Product Manager,Married,19445,7,Yes,24,3,1,3,29,3,2,8,6,2,2,1,4.086042851,9.082975418,5,15,0.462221465,0.479127429,Very High,19.63032189,44945,15.15169827,Low
23,Yes,Travel_Frequently,Engineering,21,94,2,2,23,1,85,Yes,2,0.670915171,3,Human Resources,39,4,Female,1,4,Laboratory Technician,Married,3202,3,Yes,15,3,1,2,34,1,4,9,2,3,4,3,4.321509862,8.623503682,8,17,0.785732969,0.535438772,Low,3.721947454,19202,4.358423221,Low
41,No,Travel_Frequently,Finance,21,49,5,4,20,26,113,No,1,0.794583609,1,Marketing,40,3,Male,1,2,Laboratory Technician,Divorced,4333,9,Yes,19,1,4,1,26,1,2,12,0,8,4,1,1.165887396,8.043882912,7,11,0.901566201,0.463075618,Low,26.92515616,23833,34.74845748,Low
49,No,Travel_Rarely,Research & Development,28,95,2,2,6,71,50,No,1,0.594683663,1,Human Resources,41,2,Female,1,2,Research Scientist,Married,14113,1,Yes,20,2,1,3,36,1,1,13,2,6,3,4,3.438484473,5.971723606,1,9,0.653518667,0.461916972,High,3.170415789,35613,3.929549326,Low
28,No,Travel_Rarely,Sales,19,45,2,2,6,7,112,Yes,2,0.830488862,4,Finance,42,4,Male,1,3,Product Manager,Divorced,,5,Yes,17,,2,1,17,4,3,17,6,10,1,2,4.493223349,5.762219492,6,12,0.732100512,0.437999257,High,28.31676508,,38.66203124,Low
29,No,Travel_Frequently,Sales,12,43,4,4,5,5,87,Yes,2,0.534875321,2,Life Sciences,43,1,Male,3,1,Product Manager,Married,7187,8,Yes,16,4,4,0,9,4,1,16,5,0,3,3,3.691073758,9.209075032,1,13,0.448188241,0.552971732,Medium,29.71659966,23187,33.01981513,Low
56,No,Travel_Rarely,Sales,12,30,2,2,18,84,20,No,4,0.599076064,4,Technical Degree,44,2,Female,1,2,Product Manager,Divorced,8516,9,Yes,22,4,4,1,11,1,3,2,5,5,3,2,1.132357978,4.951460289,8,4,0.60260716,0.474244217,Medium,35.53967405,31016,18.52291966,Low
35,No,Travel_Rarely,Engineering,25,64,4,2,10,64,21,No,2,0.635527114,4,Human Resources,45,2,Male,3,4,Software Engineer,Single,14324,9,Yes,10,,3,0,24,0,2,9,3,11,1,3,4.60413443,2.451511358,3,16,0.611117195,0.405434509,High,18.91634457,24324,14.48263054,Low
38,No,Travel_Rarely,Finance,21,30,2,3,0,92,92,Yes,2,0.452366957,3,Finance,46,4,Male,1,3,Sales Executive,Married,3273,3,No,16,4,2,0,4,0,3,4,4,2,2,3,4.778980988,4.577769521,2,9,0.535519778,0.42481233,Low,35.72415849,19273,22.09869392,Low
57,Yes,Travel_Rarely,Research & Development,28,45,1,4,5,84,51,Yes,1,0.490760661,2,Other,47,3,Female,2,4,Human Resources,Married,17043,5,Yes,16,2,1,0,39,1,3,9,2,6,2,4,1.556071098,3.678044711,0,4,0.574608205,0.459163805,Very High,14.40789106,33043,15.76042465,Low
25,No,Travel_Rarely,Finance,2,98,7,1,12,8,101,No,3,0.609221747,1,Finance,48,1,Female,2,2,Data Scientist,Divorced,11316,8,Yes,20,4,3,2,28,3,3,9,5,9,3,3,3.137417045,2.395130541,1,9,0.555855688,0.436872293,High,2.722987585,32316,2.949579326,Low
23,Yes,Travel_Frequently,Sales,21,84,2,2,24,47,62,No,2,0.906682964,1,Life Sciences,49,1,Female,3,4,Laboratory Technician,Divorced,7964,3,Yes,15,3,4,2,38,2,3,18,0,5,4,4,3.312791323,5.930161944,7,4,0.952120045,0.58642798,Medium,8.670392136,23964,11.24408488,Low
27,Yes,Travel_Rarely,Research & Development,9,45,5,1,17,80,92,Yes,1,0.640274207,2,Business,50,4,Female,1,4,Software Engineer,Single,,0,Yes,15,3,4,3,9,1,3,4,3,11,1,4,1.454744438,7.865490144,4,11,0.585033707,0.446532076,Low,28.8520843,,16.05589555,Low
25,Yes,Travel_Rarely,Research & Development,30,47,1,4,1,73,38,No,3,0.286925981,3,Other,51,4,Female,1,2,Marketing Manager,Single,8453,2,Yes,10,4,1,2,9,1,4,8,0,9,3,3,3.260640244,7.747440651,2,11,0.299116003,0.402960492,Medium,2.443361126,19453,3.243427851,Low
50,Yes,Non-Travel,Research & Development,24,92,0,2,25,48,54,Yes,2,0.784774237,2,Business,52,1,Male,1,2,Data Scientist,Married,9873,8,Yes,22,4,4,2,18,2,4,4,5,9,1,3,1.100686028,6.7984048,2,18,0.912187439,0.494176141,Medium,4.212899758,32873,3.239128198,Low
39,No,Travel_Rarely,Research & Development,22,51,7,3,16,70,108,No,2,0.613071144,1,Technical Degree,53,4,Male,3,2,Marketing Manager,Single,11128,1,Yes,24,4,1,0,29,0,3,3,6,11,3,3,4.024537553,9.001942667,4,0,0.584586048,0.445957749,High,26.30382973,35128,39.13624835,Low
47,Yes,Travel_Rarely,Sales,25,39,2,2,16,90,32,No,2,0.519562661,4,Finance,54,4,Female,4,4,Data Scientist,Single,9600,5,Yes,18,4,4,0,12,4,2,0,1,11,2,4,1.461518961,7.679244825,6,12,0.60489152,0.507684311,Medium,8.096975565,27600,5.306054713,Low
55,No,Travel_Rarely,Research & Development,23,81,1,1,1,77,69,No,4,0.753102615,1,Human Resources,55,4,Male,3,3,Data Scientist,Divorced,12540,6,Yes,10,3,4,0,22,0,2,11,3,5,4,4,4.880852287,2.592642547,9,13,0.887797708,0.585260194,High,9.961096234,22540,9.397616517,Low
31,No,Travel_Frequently,Research & Development,2,,1,4,0,66,89,No,4,0.333438756,3,Other,56,4,Male,2,4,Product Manager,Single,7290,4,No,19,4,3,3,39,1,3,19,4,7,4,2,1.269503123,4.700453138,6,2,0.284472363,0.495087025,Medium,22.59292704,27790,15.6371379,Low
57,No,Travel_Rarely,Engineering,30,93,4,4,11,49,110,No,1,0.828259046,3,Other,57,2,Male,2,1,Manager,Single,9078,5,Yes,16,4,3,1,1,3,4,18,5,7,1,3,3.340216715,8.904586478,3,18,0.827662154,0.513770367,Medium,4.733590574,25578,6.246272222,Low
35,Yes,Travel_Rarely,Human Resources,1,,5,2,27,79,69,No,1,0.773088129,3,Technical Degree,58,4,Female,1,3,Human Resources,Single,,7,Yes,24,,1,2,21,2,2,4,5,7,2,2,1.531538184,3.115362598,3,3,0.646314163,0.566804101,Medium,14.24047179,,20.62047502,Low
52,Yes,Non-Travel,Sales,14,96,1,3,11,63,30,Yes,3,0.348303451,3,Finance,59,4,Male,4,2,Software Engineer,Divorced,17475,7,Yes,14,4,1,1,36,0,1,2,6,4,1,3,1.743184352,7.580077684,7,8,0.320365544,0.439468748,Very High,2.419394475,31975,2.715252081,Low
36,No,Travel_Frequently,Research & Development,13,55,5,3,26,13,68,Yes,3,0.877109701,1,Technical Degree,60,1,Female,4,1,Software Engineer,Single,14681,3,Yes,24,4,4,2,20,0,3,16,6,11,1,3,4.475004576,8.663003699,3,15,0.756650153,0.588456404,High,23.83239359,39681,13.71153359,Low
29,No,Travel_Frequently,Sales,3,42,0,3,28,83,49,No,4,0.354214743,1,Life Sciences,61,3,Male,2,1,Research Scientist,Married,15361,7,Yes,22,2,2,1,24,1,4,17,6,10,4,3,2.085750585,5.006174115,5,17,0.321338592,0.416554165,High,29.29145729,37861,25.35153069,Low
35,Yes,Travel_Rarely,Sales,27,,8,3,21,33,10,No,1,0.741957194,3,Finance,62,1,Female,2,1,Laboratory Technician,Divorced,15288,9,Yes,17,1,2,2,32,1,3,6,6,1,3,1,4.472820922,5.181215943,2,3,0.64412823,0.517165583,High,22.21260942,33288,13.79660939,Low
44,Yes,Travel_Rarely,Research & Development,20,59,3,2,4,25,119,No,1,0.494307098,4,Business,63,1,Male,2,2,Data Scientist,Single,8199,9,Yes,19,4,1,0,11,1,2,5,1,0,4,3,2.363506596,7.118767768,0,5,0.462269875,0.58767323,Medium,21.52496069,27199,25.63553321,Low
42,No,Travel_Rarely,Sales,25,44,4,4,23,98,110,No,2,0.804528674,1,Life Sciences,64,3,Male,2,4,Research Scientist,Single,3781,4,Yes,23,4,4,1,31,3,1,3,3,0,4,1,1.167809697,8.915920579,6,19,0.756919264,0.559013907,Low,14.6907782,27281,8.20669594,Low
37,No,Travel_Rarely,Research & Development,5,77,2,3,15,29,34,No,4,0.246399634,4,Life Sciences,65,4,Male,1,3,Product Manager,Married,2666,2,Yes,11,4,3,3,4,4,2,4,4,7,3,3,1.431347391,6.868474693,8,11,0.224474262,0.52203271,Low,12.13195161,15166,11.38066952,Low
39,No,Travel_Frequently,Sales,2,38,5,1,15,37,25,No,2,0.399859591,1,Technical Degree,66,4,Male,4,4,Human Resources,Divorced,,6,Yes,14,1,4,2,23,0,2,1,2,8,2,4,3.18923587,3.606949341,9,8,0.387876118,0.46349215,High,32.16030709,,19.62310121,Low
45,Yes,Travel_Rarely,Sales,26,48,0,1,12,84,42,No,4,0.576395604,3,Finance,67,1,Female,2,2,Research Scientist,Married,8094,8,Yes,10,3,4,0,22,2,4,7,8,10,4,4,4.336283364,4.148053062,4,15,0.542535,0.555802293,Medium,11.69310938,18094,15.4506617,Low
47,Yes,Travel_Frequently,Research & Development,21,85,6,2,25,41,98,No,2,0.771737159,4,Business,68,4,Female,2,1,Marketing Manager,Single,6850,6,Yes,13,2,4,2,21,1,3,17,0,3,1,1,3.82314819,7.141682648,6,11,0.723779325,0.465927105,Medium,9.096097718,20850,5.476819264,Low
46,No,Travel_Rarely,Sales,29,,7,1,6,80,31,No,4,0.692344998,2,Human Resources,69,1,Female,1,1,Research Scientist,Divorced,15796,3,Yes,24,1,1,3,26,3,1,7,4,10,4,2,3.529805805,9.663544859,4,0,0.618281726,0.419394388,Very High,3.112958537,41296,3.440088883,Low
50,No,Travel_Rarely,Sales,18,35,2,4,11,87,76,Yes,2,0.963227548,2,Business,70,2,Female,4,4,Manager,Married,,2,Yes,13,3,4,2,18,4,1,3,5,2,4,4,2.413237751,4.76504443,8,9,0.910342258,0.562259976,High,33.14821286,,33.042734,Low
36,No,Travel_Frequently,Sales,9,,1,2,13,35,76,No,2,0.647217792,1,Finance,71,1,Male,4,4,Laboratory Technician,Married,18755,1,Yes,13,3,1,0,34,4,3,3,3,8,2,3,2.17645026,5.940863977,0,2,0.663560792,0.51622442,Very High,3.484649199,31755,4.526049514,Low
22,No,Travel_Rarely,Sales,22,44,3,2,19,74,84,No,2,0.441447848,3,Technical Degree,72,3,Male,4,4,Human Resources,Divorced,5087,6,Yes,13,3,1,2,15,4,4,13,9,0,1,3,1.793371813,7.124102731,0,13,0.502196021,0.454895203,Low,2.982786131,19087,4.363312163,Low
46,No,Travel_Frequently,Sales,28,,7,3,8,47,52,Yes,4,0.546938035,3,Finance,73,4,Male,2,3,Research Scientist,Divorced,6645,4,Yes,13,4,3,1,17,3,1,0,8,5,4,4,2.952228475,2.449873233,6,13,0.588577235,0.556671955,Medium,26.59673345,20145,13.34111969,Low
28,Yes,Non-Travel,Sales,28,59,7,3,10,62,61,Yes,2,0.260358899,3,Marketing,74,3,Female,1,1,Human Resources,Divorced,4470,6,Yes,23,3,3,2,6,3,3,1,0,5,1,3,2.507477418,7.424487671,0,13,0.254204444,0.505811602,Low,22.20260594,28470,19.23532409,Low
30,No,Travel_Rarely,Research & Development,12,86,7,3,10,18,72,No,4,0.293568755,3,Business,75,3,Female,3,4,Marketing Manager,Divorced,15481,5,Yes,16,1,1,1,15,3,2,16,5,7,1,2,3.204114212,6.038244621,8,10,0.258440839,0.559072313,High,8.766050967,31981,9.281061221,Low
45,No,Travel_Rarely,Sales,5,46,1,2,19,95,14,No,2,0.614063667,1,Finance,76,2,Female,2,4,Sales Executive,Married,15089,9,Yes,17,4,3,3,32,0,1,4,9,4,4,4,3.682860051,4.162264834,3,1,0.637221686,0.505941567,High,8.313194597,33589,12.08787448,Low
22,No,Travel_Rarely,Sales,18,31,3,2,24,52,117,No,2,0.980553046,2,Business,77,2,Female,4,1,Manager,Divorced,,5,Yes,13,4,1,1,36,4,1,19,0,2,1,1,4.774583483,4.786725264,6,12,0.980486808,0.56671967,High,35.49477656,,23.23040901,Low
29,Yes,Travel_Frequently,Human Resources,23,77,9,1,19,73,34,No,2,0.395628656,4,Other,78,1,Male,1,4,Software Engineer,Divorced,14309,0,Yes,12,4,4,0,36,4,2,14,7,11,4,1,4.86954092,4.640269921,4,0,0.472392184,0.551103916,High,13.53487777,26309,15.8316805,Low
45,Yes,Travel_Rarely,Sales,23,51,0,1,1,48,47,No,2,0.821753021,3,Marketing,79,2,Female,4,2,Human Resources,Divorced,14848,7,Yes,19,4,1,1,22,2,3,12,2,3,2,1,4.9843654,5.873937812,7,11,0.768249415,0.544609879,High,24.75040183,34348,31.31558296,Low
32,No,Travel_Frequently,Research & Development,2,,6,1,14,20,62,No,1,0.493275608,2,Marketing,80,3,Male,4,1,Sales Executive,Married,7699,3,Yes,19,1,1,2,9,1,3,12,2,0,1,4,3.582957205,5.898011185,0,14,0.513009916,0.546558755,Medium,30.51398164,27699,19.70400305,Low
38,No,Travel_Rarely,Sales,10,72,9,1,17,88,25,No,2,0.225428156,3,Finance,81,4,Male,2,2,Sales Executive,Divorced,,6,Yes,24,2,3,0,19,3,4,11,3,9,2,4,3.159887183,4.231886786,9,17,0.253086187,0.568898579,Low,16.03003546,,18.13716396,Low
29,Yes,Travel_Frequently,Finance,22,33,5,2,28,98,105,No,3,0.331095772,3,Marketing,82,4,Female,4,2,Sales Executive,Single,8930,8,Yes,23,4,3,0,14,2,1,5,6,2,4,1,2.47697242,6.185764658,6,7,0.304973891,0.499595659,Medium,12.39606614,31930,14.58748573,Low
56,No,Travel_Frequently,Sales,10,66,6,2,29,12,102,Yes,3,0.697277525,2,Business,83,1,Female,1,4,Marketing Manager,Married,5782,9,Yes,15,1,2,3,37,2,2,2,7,7,3,1,2.634331426,7.092699458,0,5,0.643409433,0.541417158,Low,18.56372891,22282,13.24164816,Low
56,Yes,Travel_Rarely,Research & Development,26,,9,4,21,78,79,No,1,0.3832231,2,Technical Degree,84,1,Male,4,4,Marketing Manager,Single,12256,0,Yes,22,1,3,2,16,2,4,18,3,8,3,2,4.168869365,8.456972658,6,5,0.355112467,0.448864909,High,20.19821814,35256,24.68617696,Low
54,No,Travel_Rarely,Sales,3,48,4,3,21,70,95,Yes,1,0.881148257,4,Life Sciences,85,3,Female,4,1,Data Scientist,Single,15334,8,Yes,15,,3,1,18,1,1,9,2,3,3,4,2.645288841,5.090648506,1,3,0.797275397,0.597716119,High,27.11067474,30834,26.16717046,Low
